study_id,condition
NCT01042717,Multiple Myeloma
NCT01042717,Non-Hodgkins Lymphoma
NCT04941040,Supratentorial Neoplasms
NCT05883540,Palliative Care
NCT05883540,Pain
NCT05883540,Anxiety
NCT05883540,Depression
NCT05883540,Demoralization
NCT05883540,Psychological Distress
NCT05883540,Quality of Life
NCT05883540,Caregiver Burden
NCT05883540,Fear of Death
NCT05883540,Existential Distress
NCT00171717,Maintenance Liver Transplant Patients With New Onset Diabetes
NCT00022217,Head and Neck Cancer
NCT01714089,Relapsing Remitting Multiple Sclerosis
NCT04099589,Upper Tract Urinary Carcinoma
NCT04099589,Muscle-invasive Bladder Cancer
NCT00116389,Pancreatic Cancer
NCT00116389,Neoplasm Metastasis
NCT00116389,Adenocarcinoma
NCT03063489,Eye Pain
NCT01231750,Stable Angina
NCT03745950,Endometrial Carcinoma
NCT02336750,Breast Cancer
NCT00704691,Peripheral T-cell Lymphomas
NCT00704691,Adult T-cell Leukemia
NCT00704691,Adult T-cell Lymphoma
NCT00704691,Peripheral T-cell Lymphoma Unspecified
NCT00704691,Angioimmunoblastic T-cell Lymphoma
NCT00704691,Anaplastic Large Cell Lymphoma
NCT00704691,T/Null Cell Systemic Type
NCT00704691,Cutaneous t-Cell Lymphoma With Nodal/Visceral Disease
NCT07325591,Amyotrophic Lateral Sclerosis
NCT05862974,Healthy
NCT02342691,Gingival Inflammation
NCT05631574,Non Small Cell Lung Cancer
NCT05631574,Pancreatic Cancer
NCT05631574,Colorectal Cancer
NCT05631574,NSCLC
NCT05631574,PDAC
NCT05631574,CRC
NCT05631574,Relapsed Cancer
NCT05631574,Refractory Cancer
NCT05631574,Stage III Pancreatic Cancer
NCT05631574,Stage IV Pancreatic Cancer
NCT05631574,Stage III Non-small Cell Lung Cancer
NCT05631574,Stage IV Non-small Cell Lung Cancer
NCT05631574,Stage III Colorectal Cancer
NCT05631574,Stage IV Colorectal Cancer
NCT05631574,Stage III NSCLC
NCT05631574,Stage IV NSCLC
NCT05631574,KRAS Mutation-Related Tumors
NCT06473974,Facial Hyperpigmentation
NCT02021474,Migraine Prophylaxis
NCT00425074,Cardiovascular Disease
NCT00046774,Systemic Lupus Erythematosus
NCT00620074,Aspergillosis
NCT01874574,Knee Osteoarthritis
NCT02577718,Catheter-Associated Infections
NCT02577718,Catheter-Related Infections
NCT00441818,Hodgkin's Lymphoma
NCT05323890,Advanced Esophageal Squamous Cell Cancer
NCT02710890,Epilepsy
NCT00130390,Crohn's Disease
NCT00649090,Breast Neoplasms
NCT07334197,"Ppm, Cardiomyopathy"
NCT00593697,Breast Neoplasms
NCT00845897,Diabetes Mellitus
NCT00845897,Peripheral Neuropathy
NCT00845897,Plantar Ulcers
NCT03603197,Metastatic Breast Cancer
NCT03603197,Stage IV Breast Cancer
NCT06383897,Healthy
NCT03059797,Small Cell Lung Cancer
NCT03876210,Arthritis
NCT01063010,Septic Shock
NCT01388413,Neurogenic Bladder
NCT01388413,Urinary Tract Infection
NCT00488813,ICU Patient
NCT05950113,Recurrent Multiple Myeloma
NCT05950113,Refractory Multiple Myeloma
NCT02047513,Resectable Pancreatic Cancer
NCT02047513,Ductal Adenocarcinoma of the Pancreas
NCT04613960,"Subarachnoid Hemorrhage, Aneurysmal"
NCT04613960,Cerebral Vasospasm
NCT03034460,Acne
NCT04209660,Adenoid Cystic Carcinoma
NCT04209660,Salivary Gland Cancer
NCT03122860,Knee Osteoarthritis
NCT02296320,Staphylococcus Aureus Pneumonia
NCT00762320,HIV Infections
NCT00997282,Diabetes Type 2
NCT02981082,Systemic Sclerosis
NCT02981082,Pulmonary; Hypertension
NCT06617182,Radiation Enteritis
NCT00451724,Laceration
NCT07484724,Advanced Esophageal Squamous Cell Carcinoma
NCT02678923,Acute Coronary Syndrome
NCT01677923,Obesity
NCT03499223,Diabetes Mellitus
NCT03499223,Diabetic Retinopathy
NCT03499223,Macular Edema
NCT02562859,Healthy
NCT06692959,Colorectal Cancer
NCT01216696,Metastatic Melanoma
NCT00891696,Sarcopenia
NCT00726180,Breast Cancer
NCT04456296,Hypogonadism
NCT04456296,"Hypogonadism, Male"
NCT04456296,Hypogonadotropic Hypogonadism
NCT04953780,Acute Myeloid Leukemia
NCT05327296,Sedation
NCT07504796,Metastatic Melanoma
NCT07504796,Advanced Melanoma
NCT05472896,Hepatocellular Carcinoma
NCT03945279,Amyotrophic Lateral Sclerosis
NCT06274879,Bile Duct Cancer
NCT04211896,Non Small Cell Lung Cancer
NCT06133062,Hepatocellular Carcinoma Non-resectable
NCT00658762,Generalized Anxiety Disorder
NCT04744662,Geographic Atrophy
NCT03968146,Scoliosis Idiopathic
NCT03968146,Scoliosis; Adolescence
NCT03968146,Erector Spinae Plane Block
NCT03466346,"Depression, Unipolar"
NCT03466346,Posttraumatic Stress Disorder
NCT03466346,Trauma
NCT04976088,Trauma Injury
NCT04976088,Inflammation
NCT00646503,"Hepatitis B, Chronic"
NCT01365403,Healthy Volunteer
NCT06204003,Healthy
NCT00811603,Cesarean Section
NCT00811603,Infection
NCT06224127,Anxiety Disorders
NCT06224127,Alcohol Use Disorder
NCT06224127,"Stress, Psychological"
NCT01730027,Asthma
NCT03465527,Diffuse Large B Cell Lymphoma
NCT05990127,Locally Advanced or Metastatic NSCLC
NCT03379727,Acute Myeloid Leukemia
NCT02569827,Dengue Fever
NCT00916227,Myelodysplastic Syndromes
NCT01728961,HIV Infection
NCT01728961,Malaria
NCT01856361,Oligospermia
NCT01856361,Teratospermia
NCT01856361,Asthenozoospermia
NCT01856361,Male Infertility
NCT05866861,Systemic Lupus Erythematosus
NCT05866861,SLE (Systemic Lupus)
NCT05866861,Autoimmune
NCT05628961,Toxicity;Chemical
NCT01679561,Pregnancy Complicated by Low Implantation
NCT00773461,Rheumatoid Arthritis
NCT00424242,Brain and Central Nervous System Tumors
NCT00424242,Chronic Myeloproliferative Disorders
NCT00424242,Leukemia
NCT00424242,Lymphoma
NCT00424242,Lymphoproliferative Disorder
NCT00424242,Metastatic Cancer
NCT00424242,Multiple Myeloma and Plasma Cell Neoplasm
NCT00424242,Myelodysplastic Syndromes
NCT00424242,Precancerous Condition
NCT00424242,Secondary Myelofibrosis
NCT00424242,"Unspecified Adult Solid Tumor, Protocol Specific"
NCT04060342,Pancreatic Adenocarcinoma
NCT04060342,Esophageal Adenocarcinoma
NCT04060342,Esophageal Squamous Cell Carcinoma
NCT04060342,Gastric Adenocarcinoma
NCT04060342,Gastroesophageal Junction Adenocarcinoma
NCT04060342,Triple Negative Breast Cancer
NCT04060342,Castration-resistant Prostate Cancer
NCT04060342,Microsatellite Stable Colorectal Cancer
NCT04060342,Non-small Cell Lung Cancer
NCT04060342,Small-cell Lung Cancer
NCT04060342,Head and Neck Squamous Cell Carcinoma
NCT04060342,Urothelial Carcinoma
NCT04060342,Renal Cell Carcinoma
NCT04060342,Hepatocellular Carcinoma
NCT03891342,Anesthesia
NCT03891342,Endothelial Dysfunction
NCT03891342,Sepsis
NCT03891342,Septic Shock
NCT03891342,Surgery
NCT05933642,Acute Kidney Injury
NCT06361186,Rheumatoid Arthritis
NCT05004142,Breast Neoplasms
NCT01353742,"Hepatitis B, Chronic"
NCT03771586,Healthy Volunteer
NCT01805570,Myocardial Infarction
NCT00621686,Brain and Central Nervous System Tumors
NCT05228470,Elranatamab
NCT05228470,Myeloma
NCT05228470,Multiple Myeloma
NCT05228470,Relapsed Multiple Myeloma
NCT05228470,Refractory Multiple Myeloma
NCT05228470,PF-06863135
NCT05228470,BCMA
NCT05228470,Bispecific
NCT05228470,Bispecific Antibody
NCT05228470,BCMA-CD3 Bispecific
NCT05228470,MagnetisMM-8
NCT03733470,Emphysema
NCT03545373,Tuberculosis
NCT03545373,Respiratory Tract Infections
NCT03545373,Pneumonia
NCT01985373,Primary Immunodeficiency
NCT05748873,Retinitis Pigmentosa
NCT01833273,Glioblastoma Multiform (Grade IV Astrocytoma)
NCT00234169,Multiple Myeloma
NCT00234169,Lymphoma
NCT01254383,Erectile Dysfunction
NCT00818883,Essential Hypertension
NCT04203641,Pancreas Cancer
NCT05819541,Status Asthmaticus
NCT00095641,Recurrent Squamous Cell Carcinoma of the Lip and Oral Cavity
NCT00095641,Recurrent Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity
NCT00095641,Recurrent Squamous Cell Carcinoma of the Hypopharynx
NCT00095641,Recurrent Squamous Cell Carcinoma of the Larynx
NCT00095641,Recurrent Squamous Cell Carcinoma of the Oropharynx
NCT00852241,Infraorbital Hollows
NCT03421041,"Infertility, Female"
NCT02938741,Lymphoblastic Lymphoma
NCT00189241,Basal Cell Carcinoma
NCT00247741,Spinal Anesthesia
NCT00367341,Major Depressive Disorder
NCT00857454,Hypogonadism
NCT04704154,Solid Tumors
NCT04302454,Prostate Cancer
NCT03002805,Sarcoma
NCT00235105,Ankylosing Spondylitis
NCT01419405,Pain
NCT00003505,Primary Central Nervous System Lymphoma
NCT01745354,"Lymphoma, Non-Hodgkin"
NCT01745354,Hodgkin Disease
NCT05346354,Neuromyelitis Optica Spectrum Disorder
NCT05693454,Surgical Wound
NCT05693454,Orthopedic Disorder of Spine
NCT05351905,Chronic Pain
NCT05351905,Opioid Use
NCT05351905,Cannabis
NCT01679405,Metastatic Disease
NCT07101705,Multiple Myeloma (MM)
NCT07101705,Non-Hodgkin Lymphoma (NHL)
NCT00103194,Recurrent Prostate Cancer
NCT00103194,Stage I Prostate Cancer
NCT00103194,Stage IIA Prostate Cancer
NCT00103194,Stage IIB Prostate Cancer
NCT00103194,Stage III Prostate Cancer
NCT07615283,Relapsed or Refractory Peripheral T Cell Lymphoma
NCT07615283,NKTCL
NCT05823441,Oxytocin
NCT05823441,Pain
NCT05823441,Empathy
