study_id,intervention_name,intervention_type
NCT01042717,Plerixafor,DRUG
NCT04941040,Opioid free anesthetics,DRUG
NCT04941040,Opioid Anesthetics,DRUG
NCT05883540,Lysergic Acid Diethylamide Tartrate,DRUG
NCT00171717,Cyclosporine - cyclosporine microemulsion,DRUG
NCT00022217,carboplatin,DRUG
NCT00022217,cisplatin-e therapeutic implant,DRUG
NCT00022217,paclitaxel,DRUG
NCT01714089,RNS60 125 ml,DRUG
NCT01714089,RNS60 250 ml,DRUG
NCT01714089,Interferon beta 1a,DRUG
NCT04099589,Toripalimab,DRUG
NCT00116389,talabostat mesylate tablets,DRUG
NCT00116389,gemcitabine,DRUG
NCT03063489,Loteprednol Etabonate Ophthalmic Gel,DRUG
NCT01231750,Capsaicin,DRUG
NCT01231750,Placebo cream,OTHER
NCT03745950,Olaparib Oral Capsule,DRUG
NCT03745950,Placebo oral capsule,DRUG
NCT02336750,Aprepitant,DRUG
NCT02336750,Mirtazapine,DRUG
NCT00704691,Lenalidomide,DRUG
NCT07325591,Tazbentetol,DRUG
NCT07325591,placebo,DRUG
NCT05862974,LPM3480392,DRUG
NCT05862974,Placebo,DRUG
NCT02342691,BLXA4,DRUG
NCT02342691,Placebo oral rinse,DRUG
NCT05631574,BMF-219,DRUG
NCT06473974,Test cosmetic product,DRUG
NCT02021474,AGX-201,DRUG
NCT02021474,"Subcutaneous placebo (Evan's solution = phenol 0.4%, isotonic sodium chloride).",DRUG
NCT00425074,slow release acetyl salicylic acid,DRUG
NCT00425074,ASA,DRUG
NCT00425074,SR-ASA,DRUG
NCT00046774,MRA 003 US,DRUG
NCT00620074,voriconazole,DRUG
NCT00620074,anidulafungin,DRUG
NCT01874574,Hylan G-F 20,DRUG
NCT01874574,Corticosteroid,DRUG
NCT02577718,Nitroglycerin-citrate-ethanol (NiCE),DRUG
NCT00441818,TNX-650,DRUG
NCT05323890,Tislelizumab Combined With Neoadjuvant Radiotherapy and Chemotherapy,DRUG
NCT02710890,Lacosamide,DRUG
NCT00130390,Nitazoxanide,DRUG
NCT00130390,Placebo,OTHER
NCT00649090,exemestane,DRUG
NCT07334197,Melatonin 10 MG,DRUG
NCT07334197,Selenium,DRUG
NCT07334197,Placebo,DRUG
NCT00593697,trastuzumab (9 weeks) + docetaxel,DRUG
NCT00593697,trastuzumab (9 weeks) + docetaxel + CEF + trastuzumab (up to 51 weeks),DRUG
NCT00845897,Botulinum Toxin,DRUG
NCT00845897,Saline,DRUG
NCT03603197,BP-C1,DRUG
NCT03603197,Placebo,DRUG
NCT06383897,HS-10398,DRUG
NCT06383897,HS-10398 Placebo,DRUG
NCT03059797,Anlotinib,DRUG
NCT03059797,Placebo,DRUG
NCT03876210,PK101,COMBINATION_PRODUCT
NCT03876210,"PK101-001, PK101-002",DRUG
NCT01063010,Bevacizumab,DRUG
NCT01063010,Placebo,DRUG
NCT01388413,Weekly Oral Cyclic Antibiotic programme,DRUG
NCT00488813,Third generation cephalosporins,DRUG
NCT05950113,Bone Marrow Aspiration,PROCEDURE
NCT05950113,Bone Marrow Biopsy,PROCEDURE
NCT05950113,Computed Tomography,PROCEDURE
NCT05950113,Cyclophosphamide,DRUG
NCT05950113,Echocardiography,PROCEDURE
NCT05950113,Fludarabine,DRUG
NCT05950113,Fludeoxyglucose F-18,OTHER
NCT05950113,Immunotherapy,OTHER
NCT05950113,Leukapheresis,PROCEDURE
NCT05950113,Magnetic Resonance Imaging,PROCEDURE
NCT05950113,Positron Emission Tomography,PROCEDURE
NCT02047513,perioperative nab-paclitaxel/gemcitabine,DRUG
NCT02047513,adjuvant nab-paclitaxel/gemcitabine,DRUG
NCT04613960,Magnesium sulfate,DRUG
NCT04613960,normal saline,DRUG
NCT03034460,CD5024 1% cream,DRUG
NCT03034460,CD5024 cream placebo,DRUG
NCT03034460,CD0271/CD1579 gel,DRUG
NCT03034460,CD0271/CD1579 gel placebo,DRUG
NCT04209660,Lenvatinib,DRUG
NCT04209660,Pembrolizumab,DRUG
NCT03122860,SM04690,DRUG
NCT03122860,Placebo,OTHER
NCT03122860,Sham,OTHER
NCT02296320,MEDI4893,DRUG
NCT02296320,Placebo,OTHER
NCT00762320,Low dose Kaletra tablets,DRUG
NCT00997282,OPC-262 2.5 mg,DRUG
NCT00997282,OPC-262 5 mg,DRUG
NCT00997282,Placebo,DRUG
NCT02981082,Dimethyl Fumarate (DMF),DRUG
NCT02981082,Placebo Oral Tablet,DRUG
NCT06617182,Thalidomide,DRUG
NCT06617182,Glutamine,DRUG
NCT06617182,Thalidomide+Glutamine,DRUG
NCT00451724,Intranasal ketamine,DRUG
NCT07484724,JS212,DRUG
NCT07484724,JS001,DRUG
NCT07484724,5-FU,DRUG
NCT02678923,MDCO-216,DRUG
NCT02678923,Placebo,DRUG
NCT01677923,Metformin,DRUG
NCT03499223,Ranibizumab 0.5mg,DRUG
NCT03499223,THR-317 8mg,DRUG
NCT03499223,Sham injection,DRUG
NCT02562859,500 mg GLPG1837 as oral suspension,DRUG
NCT02562859,500 mg GLPG1837 as oral tablet,DRUG
NCT06692959,PD-1 vaccine IMU-201 (PD1-Vaxx),DRUG
NCT01216696,ipilimumab,DRUG
NCT00891696,Rapamycin,DRUG
NCT00891696,Amino acid supplementation,OTHER
NCT00891696,Low-intensity resistance exercise,OTHER
NCT00891696,Sodium nitroprusside,DRUG
NCT00891696,Blood flow restriction cuff,DEVICE
NCT00726180,trastuzumab (Herceptin®),DRUG
NCT04456296,Aveed Injectable Product,DRUG
NCT04456296,Fortesta,DRUG
NCT04456296,Testim,DRUG
NCT04953780,Calaspargase pegol-mknl,DRUG
NCT05327296,Isoflurane,DRUG
NCT05327296,Propofol,DRUG
NCT07504796,Nivolumab,DRUG
NCT07504796,Relatlimab,DRUG
NCT07504796,Ipilimumab,DRUG
NCT07504796,Signatera genome MRD assay,DEVICE
NCT05472896,cTACE,PROCEDURE
NCT05472896,Dicycloplatin (TP21),DRUG
NCT05472896,Epirubicin,DRUG
NCT03945279,BIIB100,DRUG
NCT03945279,Placebo,DRUG
NCT06274879,"Gemcitabin, Cisplatin and Durvalumab",DRUG
NCT06274879,Biliary Radiofrequency Ablation,PROCEDURE
NCT06274879,Endoscopic Retrograde Cholangio-Pancreatography with stenting,PROCEDURE
NCT04211896,Anlotinib,DRUG
NCT04211896,Nivolumab,DRUG
NCT06133062,Atezolizumab,DRUG
NCT06133062,Bevacizumab,DRUG
NCT06133062,Proton radiotherapy,RADIATION
NCT00658762,PD 0332334,DRUG
NCT00658762,paroxetine,DRUG
NCT00658762,Placebo,DRUG
NCT04744662,ONL1204 Ophthalmic solution,DRUG
NCT04744662,sham injection,PROCEDURE
NCT03968146,Erector Spinae Plane Block,PROCEDURE
NCT03968146,Fentanyl,DRUG
NCT03968146,additional Fentanyl,DRUG
NCT03968146,Morphine,DRUG
NCT03968146,rescue Morphine,DRUG
NCT03968146,pethidine,DRUG
NCT03968146,Ketorolac,DRUG
NCT03968146,Acetaminophen,DRUG
NCT03466346,Fluoxetine,DRUG
NCT03466346,Interpersonal Psychotherapy,BEHAVIORAL
NCT04976088,Diclofenac Sodium 140 mg medicated plaster,DRUG
NCT04976088,"Diclofenac epolamine (DIEP) 180mg medicated plaster, Flector",DRUG
NCT04976088,Placebo,DRUG
NCT00646503,Telbivudine,DRUG
NCT01365403,RO4917838,DRUG
NCT01365403,carbamazepine,DRUG
NCT06204003,Cannabis/Hemp Isolate Extract,DRUG
NCT00811603,Cefazolin (Timing of Antibiotic Prophylaxis),DRUG
NCT06224127,active heat,DEVICE
NCT06224127,Active c tactile fiber stimulation,DRUG
NCT06224127,sham heat,DEVICE
NCT06224127,Sham c tactile fiber stimulation,DEVICE
NCT01730027,ADC3680,DRUG
NCT01730027,Placebo,DRUG
NCT01730027,montelukast,DRUG
NCT03465527,PrednisoLONE 50 MG,DRUG
NCT05990127,AK104,DRUG
NCT05990127,Tislelizumab,DRUG
NCT05990127,carboplatin,DRUG
NCT05990127,Pemetrexed,DRUG
NCT05990127,Paclitaxel,DRUG
NCT03379727,Midostaurin,DRUG
NCT03379727,Cytarabine,DRUG
NCT03379727,anthracycline ((daunorubicin or idarubicin): Induction Phase only,DRUG
NCT02569827,Celgosivir,DRUG
NCT02569827,Modipafant 50mg,DRUG
NCT02569827,Placebo,DRUG
NCT02569827,Modipafant 100mg,DRUG
NCT00916227,"ARRY-614, p38/Tie2 inhibitor; oral",DRUG
NCT01728961,Artemether/Lumefantrine (AL),DRUG
NCT01856361,Ramipril,DRUG
NCT01856361,Placebo,DRUG
NCT05866861,CUG252,DRUG
NCT05866861,Placebo,DRUG
NCT05628961,HOPO 14-1,DRUG
NCT01679561,intralipid,DRUG
NCT00773461,tocilizumab [RoActemra/Actemra],DRUG
NCT00773461,Placebo,DRUG
NCT00424242,Pemetrexed,DRUG
NCT04060342,GB1275,DRUG
NCT04060342,nab-paclitaxel and gemcitabine,DRUG
NCT04060342,pembrolizumab,DRUG
NCT03891342,Fluid bolus administration,DRUG
NCT05933642,Aminophylline,DRUG
NCT05933642,Frusemide,DRUG
NCT06361186,Proximod,DRUG
NCT06361186,Placebo,DRUG
NCT05004142,FCN-437c+Fulvestrant,DRUG
NCT05004142,FCN-437c+Letrozole+Goserelin,DRUG
NCT01353742,Lamivudine,DRUG
NCT01353742,Adefovir dipivoxil,DRUG
NCT01353742,Fixed dose combination (Lamivudine and Adefovir dipivoxil),DRUG
NCT03771586,SAGE-718,DRUG
NCT03771586,Placebo,DRUG
NCT01805570,Prasugrel,DRUG
NCT01805570,Ticagrelor,DRUG
NCT00621686,bevacizumab,BIOLOGICAL
NCT00621686,sorafenib tosylate,DRUG
NCT05228470,Elranatamab,DRUG
NCT03733470,Sildenafil study group,DRUG
NCT03545373,Azithromycin,DRUG
NCT03545373,Amoxicillin,DRUG
NCT01985373,Intravenous immunoglobulin infusion,DRUG
NCT05748873,SPVN06,DRUG
NCT01833273,PolyMVA,DRUG
NCT00234169,VTP195183,DRUG
NCT01254383,Sildenafil Tablet,DRUG
NCT01254383,Sildenafil ODT,DRUG
NCT00818883,Azilsartan medoxomil and chlorthalidone,DRUG
NCT00818883,Azilsartan medoxomil and hydrochlorothiazide,DRUG
NCT04203641,L-DOS47,BIOLOGICAL
NCT04203641,Doxorubicin,DRUG
NCT05819541,Montelukast Oral Granules,DRUG
NCT05819541,Albuterol,DRUG
NCT05819541,Corticosteroid,DRUG
NCT00095641,capecitabine,DRUG
NCT00095641,adjuvant therapy,PROCEDURE
NCT00095641,chemotherapy,PROCEDURE
NCT00852241,Restalyne,DRUG
NCT00852241,Perlane,DRUG
NCT03421041,Dexamethasone Oral Tablet,DRUG
NCT02938741,Anti-human Thymoglobulin,DRUG
NCT02938741,Placebo,DRUG
NCT00189241,imiquimod,DRUG
NCT00247741,spinal administration of articaine,DRUG
NCT00247741,spinal administration of lidocaine,DRUG
NCT00367341,escitalopram,DRUG
NCT00367341,Cognitive Behavioral Therapy (CBT),BEHAVIORAL
NCT00857454,Testosterone MD-Lotion,DRUG
NCT04704154,"Regorafenib, (Stivarga, BAY73-4506)",DRUG
NCT04704154,Nivolumab (Opdivo),DRUG
NCT04302454,Radiotherapy,RADIATION
NCT04302454,Leuprorelin,DRUG
NCT03002805,CBT-1®,DRUG
NCT00235105,Adalimumab 40 mg sc every other week,DRUG
NCT01419405,Pregabalin,DRUG
NCT01419405,Remifentanil,DRUG
NCT01419405,"sugar pill, saline infusion",DRUG
NCT00003505,antineoplaston A10,DRUG
NCT00003505,antineoplaston AS2-1,DRUG
NCT00003505,alternative product therapy,PROCEDURE
NCT00003505,biological therapy,PROCEDURE
NCT00003505,biologically based therapies,PROCEDURE
NCT00003505,cancer prevention intervention,PROCEDURE
NCT00003505,complementary and alternative therapy,PROCEDURE
NCT00003505,differentiation therapy,PROCEDURE
NCT01745354,SD-101,DRUG
NCT01745354,Local Radiation,RADIATION
NCT05346354,Ravulizumab,DRUG
NCT05693454,Infiltration with NaCl,DRUG
NCT05693454,Infiltration with Ropivacain,DRUG
NCT05693454,Infiltration with a combination of Levobupivacaine and Tramadol,DRUG
NCT05351905,CBD oil ( MPL-001),DRUG
NCT05351905,CDB+THC oil (MPL-005),DRUG
NCT05351905,Placebo oil,DRUG
NCT01679405,BIBW 2992,DRUG
NCT07101705,OriV508 Injection,DRUG
NCT00103194,lapatinib ditosylate,DRUG
NCT00103194,laboratory biomarker analysis,OTHER
NCT07615283,Adebrelimab & SHR2554,DRUG
NCT05823441,Oxytocin nasal spray,DRUG
NCT05823441,Placebo,DRUG
NCT05823441,Stranger,BEHAVIORAL
NCT05823441,Acquaintance,BEHAVIORAL
NCT05108766,Tildrakizumab 100 mg,DRUG
NCT05108766,Placebo,DRUG
NCT04359966,"Esomeprazole 40mg, Clarithromycin 500 mg, Metronidazole 400 mg,",DRUG
NCT04359966,"Esomeprazole 40mg, Bismuth subcitrate 120 mg, Amoxicillin 500 mg, Metronidazole 400 mg",DRUG
NCT04359966,"Esomeprazole 40mg, Amoxicillin 500 mg, Levofloxacin 500 mg",DRUG
NCT00690066,PROCHYMAL®,DRUG
NCT00690066,Placebo,DRUG
NCT01880866,(-)-Epicatechin,DRUG
NCT05158166,DaxibotulinumtoxinA,DRUG
NCT06567366,CAR T-cell therapy,BIOLOGICAL
NCT06567366,Glofitamab,DRUG
NCT06567366,Obinutuzumab,DRUG
NCT00648466,Sumatriptan Succinate Tablets 100 mg,DRUG
NCT00648466,Imitrex® Tablets 100 mg,DRUG
NCT02771366,Fermented Papaya Preparation,DRUG
NCT02771366,Granulated Sugar,OTHER
NCT02736266,Pembrolizumab (MK-3475),DRUG
NCT00575302,Gonal-f®: follitropin alpha,DRUG
NCT02809131,polymixin/bacitracin,DRUG
NCT02809131,"cephalexin, or levofloxacin, or clindamycin",DRUG
NCT02809131,Saline,DRUG
NCT03876002,[18F]PBR06,DRUG
NCT01490931,Ketorolac Nasal Spray,DRUG
NCT07079631,BNT314,BIOLOGICAL
NCT07079631,Pumitamig,DRUG
NCT07079631,SoC chemotherapy treatment 1,DRUG
NCT07079631,SoC chemotherapy treatment 2,DRUG
