study_id,sponsor_name,sponsor_type
NCT01042717,"Shi, Patricia, M.D.",INDIV
NCT01042717,"Genzyme, a Sanofi Company",INDUSTRY
NCT04941040,Kasr El Aini Hospital,OTHER
NCT05883540,"University Hospital, Basel, Switzerland",OTHER
NCT05883540,"University Hospital, Zürich",OTHER
NCT05883540,"Spital Uster AG, Uster, Switzerland",UNKNOWN
NCT05883540,"University Hospital, Geneva",OTHER
NCT00171717,Novartis,INDUSTRY
NCT00022217,Matrix Pharmaceutical,INDUSTRY
NCT01714089,Revalesio Corporation,INDUSTRY
NCT04099589,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",OTHER
NCT04099589,Peking University First Hospital,OTHER
NCT04099589,China-Japan Friendship Hospital,OTHER
NCT00116389,Point Therapeutics,INDUSTRY
NCT03063489,"Bausch Health Americas, Inc.",INDUSTRY
NCT01231750,Neal Weintraub,OTHER
NCT01231750,University of Cincinnati,OTHER
NCT03745950,ARCAGY/ GINECO GROUP,OTHER
NCT02336750,Fudan University,OTHER
NCT00704691,University of Alabama at Birmingham,OTHER
NCT07325591,Spinogenix,INDUSTRY
NCT05862974,Luye Pharma Group Ltd.,INDUSTRY
NCT02342691,The Forsyth Institute,OTHER
NCT02342691,National Institute of Dental and Craniofacial Research (NIDCR),NIH
NCT05631574,Biomea Fusion Inc.,INDUSTRY
NCT06473974,"Kayuraeffect, LLP",INDUSTRY
NCT06473974,COD Research,UNKNOWN
NCT02021474,"AgoneX Biopharmaceuticals, Inc.",INDUSTRY
NCT00425074,Rottapharm Spain,INDUSTRY
NCT00046774,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH
NCT00620074,Pfizer,INDUSTRY
NCT01874574,Thammasat University,OTHER
NCT02577718,"Novel Anti-Infective Technologies, LLC",INDUSTRY
NCT02577718,M.D. Anderson Cancer Center,OTHER
NCT00441818,Tanox,INDUSTRY
NCT05323890,Shandong Cancer Hospital and Institute,OTHER
NCT02710890,"UCB BIOSCIENCES, Inc.",INDUSTRY
NCT00130390,Romark Laboratories L.C.,INDUSTRY
NCT00649090,Pfizer,INDUSTRY
NCT07334197,Tanta University,OTHER
NCT07334197,Delta University for Science and Technology,OTHER
NCT00593697,Finnish Breast Cancer Group,OTHER
NCT00845897,Washington University School of Medicine,OTHER
NCT00845897,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH
NCT03603197,Meabco A/S,INDUSTRY
NCT03603197,Meddoc,OTHER
NCT03603197,Norwegian University of Life Sciences,OTHER
NCT06383897,"Jiangsu Hansoh Pharmaceutical Co., Ltd.",INDUSTRY
NCT03059797,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",INDUSTRY
NCT03876210,"PMG Pharm Co., Ltd",INDUSTRY
NCT01063010,Beth Israel Deaconess Medical Center,OTHER
NCT01063010,The Cooper Health System,OTHER
NCT01063010,Carolinas Medical Center,OTHER
NCT01388413,"University Hospital, Tours",OTHER
NCT00488813,Wyeth is now a wholly owned subsidiary of Pfizer,INDUSTRY
NCT05950113,Jonsson Comprehensive Cancer Center,OTHER
NCT02047513,AIO-Studien-gGmbH,OTHER
NCT02047513,Celgene,INDUSTRY
NCT02047513,ClinAssess GmbH,INDUSTRY
NCT04613960,"General Committee of Teaching Hospitals and Institutes, Egypt",OTHER_GOV
NCT04613960,Ain Shams University,OTHER
NCT04613960,"Health Insurance Organization, Egypt",UNKNOWN
NCT03034460,Galderma R&D,INDUSTRY
NCT04209660,Memorial Sloan Kettering Cancer Center,OTHER
NCT04209660,Merck Sharp & Dohme LLC,INDUSTRY
NCT04209660,Eisai Inc.,INDUSTRY
NCT03122860,"Biosplice Therapeutics, Inc.",INDUSTRY
NCT02296320,MedImmune LLC,INDUSTRY
NCT02296320,Innovative Medicines Initiative,OTHER
NCT02296320,Antibacterial Resistance Leadership Group,OTHER
NCT02296320,National Institute of Allergy and Infectious Diseases (NIAID),NIH
NCT00762320,Phoenix Children's Hospital,OTHER
NCT00762320,Abbott,INDUSTRY
NCT00997282,"Kyowa Kirin Co., Ltd.",INDUSTRY
NCT02981082,Robert Lafyatis,OTHER
NCT02981082,Biogen,INDUSTRY
NCT06617182,Yongquan Shi,OTHER
NCT00451724,Rhode Island Hospital,OTHER
NCT07484724,"Shanghai Junshi Bioscience Co., Ltd.",OTHER
NCT02678923,The Medicines Company,INDUSTRY
NCT02678923,The Cleveland Clinic,OTHER
NCT01677923,Lithuanian University of Health Sciences,OTHER
NCT03499223,Oxurion,INDUSTRY
NCT02562859,Lakefront Biotherapeutics NV,INDUSTRY
NCT06692959,University of Southampton,OTHER
NCT06692959,Australasian Gastro-Intestinal Trials Group,NETWORK
NCT01216696,"National Center for Tumor Diseases, Heidelberg",OTHER
NCT01216696,University Hospital Heidelberg,OTHER
NCT00891696,"The University of Texas Medical Branch, Galveston",OTHER
NCT00891696,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),NIH
NCT00726180,University of Michigan Rogel Cancer Center,OTHER
