study_id,title,status,phase,enrollment
NCT01042717,Study of the Best Timing for Plerixafor in Autologous Hematopoietic Stem Cell Collection,UNKNOWN,NA,10.0
NCT04941040,Opioid Free VS Opioid Anesthesia for Craniotomies,COMPLETED,PHASE1,60.0
NCT05883540,Lysergic Acid Diethylamide (LSD) in Palliative Care,RECRUITING,PHASE2,60.0
NCT00171717,Conversion From Tacrolimus to Cyclosporine Microemulsion in Liver Transplant Patients With New Onset Diabetes After the 3rd Month Post-transplant,COMPLETED,PHASE4,39.0
NCT00022217,Cisplatin-Epinephrine Injectable Gel Plus Paclitaxel and Carboplatin in Treating Patients With Recurrent Head and Neck Cancer,UNKNOWN,PHASE2,
NCT01714089,Proof of Concept Study Evaluating RNS60 in the Treatment of Relapsing Remitting Multiple Sclerosis,WITHDRAWN,PHASE2,0.0
NCT04099589,Neoadjuvant Treatment of Upper Urinary and Muscular Invasive Bladder Urothelial Carcinoma,UNKNOWN,PHASE2,64.0
NCT00116389,Trial of Talabostat and Gemcitabine in Patients With Stage IV Adenocarcinoma of the Pancreas,TERMINATED,PHASE2,60.0
NCT03063489,"Evaluation of the Safety, Systemic Pharmacokinetics, and Tolerability",COMPLETED,PHASE1,15.0
NCT01231750,Efficacy of Topical Capsaicin Cream for Stable Angina,TERMINATED,PHASE3,7.0
NCT03745950,UTOLA: UTerin OLAparib,COMPLETED,PHASE2,147.0
NCT02336750,Adding Mirtazapine to Dexamethasone and Aprepitant for Delayed Emesis,COMPLETED,PHASE3,212.0
NCT00704691,"Lenalidomide Therapy for Patients With Relapsed and/or Refractory, Peripheral T-Cell Lymphomas",TERMINATED,EARLY_PHASE1,1.0
NCT07325591,Efficacy and Safety of Tazbentetol in ALS Participants,NOT_YET_RECRUITING,PHASE2,430.0
NCT05862974,A Dose-escalation Study of LPM3480392 in Chinese Healthy Subjects,COMPLETED,PHASE1,80.0
NCT02342691,Safety and Preliminary Efficacy of Lipoxin Analog BLXA4-ME Oral Rinse for the Treatment of Gingivitis,COMPLETED,PHASE1,127.0
NCT05631574,"Study of Covalent Menin Inhibitor BMF-219 in Adult Patients With KRAS Driven Non-Small Cell Lung Cancer, Pancreatic Cancer, and Colorectal Cancer",TERMINATED,PHASE1,13.0
NCT06473974,"Open-label, Single-arm, Proof of Concept Study in Subjects with Mild-to-moderate Facial Hyperpigmentation",WITHDRAWN,PHASE2,0.0
NCT02021474,"A Multicenter, Randomized, Double-blind, Placebo-controlled Trial to Assess the Efficacy and Safety of Subcutaneous AGX-201 for Migraine Prophylaxis",UNKNOWN,PHASE2,130.0
NCT00425074,"Pharmacodynamic-pharmacokinetic Trial, of Slow Release ASA, in the Platelet Functionalism.",COMPLETED,PHASE1,50.0
NCT00046774,Monoclonal Antibody Treatment for Systemic Lupus Erythematosus,COMPLETED,PHASE1,23.0
NCT00620074,"Study to Test the Combination of Voriconazole and Anidulafungin in Patients Who Have, or Are Thought to Have, Invasive Aspergillosis and Who Are Unable to Take a Common Antifungal Therapy (Polyene)",TERMINATED,PHASE4,6.0
NCT01874574,Intra-articular Corticosteroid Injection Compared With Single-Shot Hyaluronic Acid for Treatment of Osteoarthritis Knee,COMPLETED,PHASE4,100.0
NCT02577718,Safety and Effectiveness of Novel Nitroglycerin Based Catheter Lock Solution,COMPLETED,PHASE1,60.0
NCT00441818,Safety and Efficacy Study of TNX-650 to Treat Refractory Hodgkin's Lymphoma,UNKNOWN,PHASE1,59.0
